,STOCK,CODE
142,Alka India Ltd.,BOM530889
143,Alka Securities Ltd.,BOM532166
144,Alkali Metals Ltd.,BOM533029
145,Alkyl Amines Chemicals Ltd,BOM506767
146,Allahabad Bank,BOM532480
147,Allcargo Logistics Ltd.,BOM532749
148,Alliance Integrated Metaliks Ltd.,BOM534064
149,Allied Computers International (asia) Ltd.,BOM532919
150,Allied Digital Services Ltd.,BOM532875
151,Allsec Technologies Ltd.,BOM532633
152,Almondz Global Securities Ltd.,BOM531400
153,Alna Trading & Exports Ltd.,BOM506120
154,Alok Industries Ltd.,BOM521070
155,Alpa Laboratories Ltd.,BOM532878
156,Alpha Graphic India Ltd.,BOM531720
157,Alpha Hi-tech Fuel Ltd.,BOM531247
158,Alphageo (india) Ltd,BOM526397
159,Alpine Housing Development Corporation Ltd.,BOM526519
160,Alps Industries Ltd.,BOM530715
161,Alstom India Ltd,BOM532309
162,Alstom T&d India Ltd.,BOM522275
163,Alstone Textiles (india) Ltd,BOM539277
164,Alufluoride Ltd.,BOM524634
165,Amal Ltd.,BOM506597
166,Amalgamated Electricity Co.ltd.,BOM501622
167,Amani Trading & Exports Ltd.,BOM512008
168,Amar Remedies Ltd.,BOM532664
169,Amara Raja Batteries Ltd.,BOM500008
170,Amarjothi Spinning Mills Ltd.,BOM521097
171,Amarnath Securities Ltd,BOM538465
172,Amba Enterprises Ltd,BOM539196
173,Ambalal Sarabhai Enterprises Ltd.,BOM500009
174,Ambica Agarbathies & Aroma Industries Ltd.,BOM532335
175,Ambika Cotton Mills Ltd.,BOM531978
176,Ambition Mica Ltd,BOM539223
177,Ambitious Plastomac Company Ltd.,BOM526439
178,Ambuja Cements Ltd.,BOM500425
179,Amco India Ltd,BOM530133
180,Amd Industries Ltd.,BOM532828
181,Amforge Industries Ltd.,BOM513117
182,Amines & Plasticizers Ltd.,BOM506248
183,Amit International Ltd.,BOM531300
184,Amit Securities Ltd.,BOM531557
185,Amit Spinning Industries Ltd.,BOM521076
186,Amradeep Industries Ltd.,BOM531681
187,Amrapali Capital And Finance Services Ltd,BOM536737
188,Amrapali Fincap Ltd,BOM539265
189,Amrapali Industries Ltd.,BOM526241
190,Amraworld Agrico Ltd.,BOM531991
191,Amrit Corp.ltd,BOM507525
192,Amrutanjan Health Care Ltd,BOM590006
193,Amsons Apparels Ltd,BOM538861
194,Amtek Auto Ltd,BOM520077
195,Amulya Leasing & Finance Ltd.,BOM531761
196,Anand Credit Ltd.,BOM531678
197,Anand Projects Ltd,BOM501630
198,Anant Raj Limited,BOM515055
199,Ananthi Constructions Ltd.,BOM526833
200,Anar Industries Ltd.,BOM531127
201,Andhra Bank,BOM532418
202,Andhra Cements Ltd.,BOM532141
203,Andhra Petrochemicals Ltd.,BOM500012
204,Andhra Sugars Ltd.,BOM590062
205,Andrew Yule & Company Ltd.,BOM526173
206,Ang Industries Limited,BOM530721
207,Anik Industries Ltd.,BOM519383
208,Anil Ltd.,BOM532910
209,Anil Special Steel Industries Ltd,BOM504629
210,Anisha Impex Ltd,BOM537785
211,Anjani Finance Ltd.,BOM531878
212,Anjani Foods Ltd,BOM511153
213,Anjani Portland Cement Ltd,BOM518091
214,Anjani Synthetics Ltd,BOM531223
215,Anka India Ltd.,BOM531673
216,Ankit Metal & Power Ltd.,BOM532870
217,Ankush Finstock Ltd.,BOM531519
218,Anna Infrastructures Ltd.,BOM530799
219,Ans Industries Ltd,BOM531406
220,Ansal Buildwell Ltd,BOM523007
221,Ansal Housing & Construction Ltd,BOM507828
222,Ansal Properties & Infrastructure Ltd.,BOM500013
223,Anshuni Commercials Ltd.,BOM512091
224,Anshus Clothing Ltd.,BOM534707
225,Anu's Laboratories Ltd.,BOM532981
226,Anubhav Infrastructure Ltd,BOM538833
227,Anuh Pharma Ltd.,BOM506260
228,Anukaran Commercial Enterprises Ltd.,BOM512355
229,Anup Malleable Ltd.,BOM506087
230,Apar Industries Ltd.,BOM532259
231,Apcotex Industries Ltd.,BOM523694
232,Apis India Ltd.,BOM506166
233,Apl Apollo Tubes Ltd.,BOM533758
234,Aplab Ltd,BOM517096
235,Aplaya Creations Ltd,BOM511064
236,Apm Industries Ltd,BOM523537
237,Apollo Finvest (india) Ltd.,BOM512437
238,Apollo Hospitals Enterprise Ltd.,BOM508869
239,Apollo Tyres Ltd.,BOM500877
240,Apple Finance Ltd.,BOM500014
241,Appu Marketing & Manufacturing Ltd,BOM538653
242,Apte Amalgamations Ltd.,BOM507265
243,Aptech Ltd.,BOM532475
244,Aptechbbph,BOM535790
245,Aqua Logistics Ltd,BOM533159
246,Aqua Pumps Infra Ventures Limited,BOM531364
247,Arambhan Hospitality Services Ltd,BOM539403
248,Aramusk Infrastructure Investments Ltd.,BOM532068
249,Aravali Securities & Finance Ltd.,BOM512344
250,Arcee Industries Ltd.,BOM520121
251,Archana Software Ltd.,BOM530565
252,Archidply Industries Ltd.,BOM532994
253,Archies Ltd.,BOM532212
254,Archit Organosys Ltd.,BOM524640
255,Arco Leasing Ltd.,BOM511038
256,Arcotech Ltd.,BOM532914
257,Arcuttipore Tea Co.ltd.,BOM530261
258,Ardi Investment & Trading Ltd.,BOM504370
259,Arex Industries Ltd.,BOM526851
260,Arfin India Ltd,BOM539151
261,Ari Consolidated Investments Ltd.,BOM509110
262,Aries Agro Ltd.,BOM532935
263,Arihant Avenues & Credit Ltd.,BOM531553
264,Arihant Capital Markets Ltd.,BOM511605
265,Arihant Foundations & Housing Ltd,BOM531381
266,Arihant Superstructures Limited,BOM506194
267,Arihant Tournesol Ltd.,BOM526125
268,Arihant's Securities Ltd.,BOM531017
269,Aris International Ltd.,BOM531677
270,Arman Financial Services Ltd.,BOM531179
271,Arman Holdings Ltd,BOM538556
272,Arms Paper Ltd.,BOM532397
273,Arnav Corporation Ltd.,BOM531467
274,Arnold Holdings Ltd,BOM537069
275,Aro Granite Industries Ltd,BOM513729
276,Aroma Enterprises (india) Ltd.,BOM531560
277,Aroni Commercials Ltd,BOM512273
278,Arora Fibres Ltd.,BOM521174
279,Arrow Greentech Ltd,BOM516064
280,Arrow Textiles Ltd.,BOM533068
281,Arshiya Limited,BOM506074
282,Arss Infrastructure Projects Ltd.,BOM533163
283,Artech Power Products Ltd.,BOM517481
284,Artefact Projects Ltd.,BOM531297
285,Artson Engineering Ltd.,BOM522134
286,Arvind Infrastructure Ltd,BOM539301
287,Arvind International Ltd,BOM524760
288,Arvind Ltd.,BOM500101
289,Arvind Remedies Ltd.,BOM531823
290,Aryaman Capital Markets Ltd,BOM538716
291,Aryaman Financial Services Ltd.,BOM530245
